

        *** GPGPU-Sim Simulator Version 4.0.0  [build gpgpu-sim_git-commit-90ec3399763d7c8512cfe7dc193473086c38ca38_modified_14.0] ***


addr_dec_mask[CHIP]  = 0000000000001f00 	high:13 low:8
addr_dec_mask[BK]    = 00000000000e2000 	high:20 low:13
addr_dec_mask[ROW]   = 00000001fff00000 	high:33 low:20
addr_dec_mask[COL]   = 000000000001c0ff 	high:17 low:0
addr_dec_mask[BURST] = 000000000000001f 	high:5 low:0
sub_partition_id_mask = 0000000000002000
GPGPU-Sim uArch: clock freqs: 1132000000.000000:1132000000.000000:1132000000.000000:850000000.000000
GPGPU-Sim uArch: clock periods: 0.00000000088339222615:0.00000000088339222615:0.00000000088339222615:0.00000000117647058824
GPGPU-Sim uArch: performance model initialization complete.
launching memcpy command : MemcpyHtoD,0x00007f7091700000,16388
launching memcpy command : MemcpyHtoD,0x00007f7091704400,278596
-kernel name = _Z22bpnn_layerforward_CUDAPfS_S_S_ii
-kernel id = 1
-grid dim = (1,1,1)
-block dim = (1,1,1)
-shmem = 1088
-nregs = 22
-binary version = 70
-cuda stream id = 0
-shmem base_addr = 0x00007f70c3000000
-local mem base_addr = 0x00007f70c5000000
-nvbit version = 1.4
-accelsim tracer version = 3
launching kernel command : /scratch/santosh/gpu_simulation/accel-sim-framework/traces/rodinia_2.0-ft/11.0/backprop-rodinia-2.0-ft/4096___data_result_4096_txt/traces/kernel-1.traceg
GPGPU-Sim uArch: Shader 0 bind to kernel 1 '_Z22bpnn_layerforward_CUDAPfS_S_S_ii'
GPGPU-Sim uArch: CTA/core = 32, limited by: cta_limit
GPGPU-Sim: Reconfigure L1 cache to 120KB
GPGPUsim: cta_size: 1
ctaid: 0, start warp: 0, end_warp: 1, start_thread: 0, end_thread: 1
thread block = 0,0,0
warp id: 0
warp_id: 0, insts: 137
1,1,1,0,0,5011,.IMAD.MOV.U32,5001,5002,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0,-1,-1,-1,0 
1,1,3,0,0,5012,.S2R,5003,5004,4,0,1,0,0,0,1,0,3,0,-1,2,32,0,0,-1,0x20,-1,-1,-1,0 
1,1,2,0,0,5013,.SHFL.IDX,5001,5003,4,4,0,0,0,0,1,0,3,0,-1,2,0,0,0,-1,0x10,-1,-1,-1,0 
1,1,4,0,0,5013,.S2R,5003,5005,4,0,1,0,0,0,1,0,3,0,-1,2,32,0,0,-1,0x30,-1,-1,-1,0 
1,1,5,0,0,5014,.S2R,5005,5006,4,0,1,0,0,0,1,0,3,0,-1,2,32,0,0,-1,0x40,-1,-1,-1,0 
1,1,6,0,0,5021,.ISETP.NE.AND,5005,5012,4,2,0,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x50,-1,-1,-1,0 
1,1,7,0,0,5023,.IMAD,5012,5014,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x60,-1,-1,-1,0 
1,1,8,0,0,5024,.IMAD.MOV.U32,5012,5015,4,2,1,0,0,0,6,0,3,0,-1,2,2,0,0,-1,0x70,-1,-1,-1,0 
1,1,9,0,0,5033,.IMAD.WIDE,5015,5024,4,2,1,0,0,0,6,0,3,0,-1,2,2,0,0,-1,0x80,-1,-1,-1,0 
1,1,11,0,0,5043,.IMAD.MOV.U32,5033,5034,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0xa0,-1,-1,-1,0 
1,1,12,0,0,5044,.IADD3,5033,5035,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0xb0,-1,-1,-1,0 
1,1,13,0,0,5045,.IMAD.MOV.U32,5035,5036,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0xc0,-1,-1,-1,0 
1,1,14,0,0,5052,.IADD3,5035,5043,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0xd0,-1,-1,-1,0 
1,1,15,0,0,5061,.IMAD,5043,5052,4,3,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0xe0,-1,-1,-1,0 
1,1,16,0,0,5062,.IMAD.SHL.U32,5043,5053,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0xf0,-1,-1,-1,0 
1,1,17,0,0,5070,.IMAD.WIDE,5053,5061,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x100,-1,-1,-1,0 
1,1,18,0,0,5070,.I2F.U32.RP,5053,5062,4,0,1,0,0,0,1,0,3,0,-1,2,32,0,0,-1,0x110,-1,-1,-1,0 
1,1,19,0,0,5095,.MUFU.RCP,5062,5070,20,1,1,0,0,0,2,0,4,0,-1,8,32,0,0,-1,0x120,-1,-1,-1,0 
1,1,20,0,0,5104,.IADD3,5062,5095,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x130,-1,-1,-1,0 
1,1,21,0,0,5113,.F2I.FTZ.U32.TRUNC.NTZ,5095,5104,4,1,1,0,0,0,1,0,3,0,-1,2,32,0,0,-1,0x140,-1,-1,-1,0 
1,1,10,0,0,5364,.LDG.E.SYS,5015,5033,1,1,1,1,0,4,8,0,6,0,-1,1,2,0,0,-1,0x90,-1,-1,-1,1 
1,1,22,0,0,5367,.STS,5095,5364,1,2,0,0,1,4,11,0,6,0,-1,1,2,0,0,-1,0x150,-1,-1,-1,0 
1,1,24,0,0,5371,.BAR.SYNC,5364,5366,1,0,0,0,0,0,13,0,3,0,-1,1,32,0,0,-1,0x170,1,-1,-1,0 
1,1,23,0,0,5373,.NOP,5364,5365,4,0,0,0,0,0,1,0,3,0,-1,2,32,0,0,-1,0x160,-1,-1,-1,0 
1,1,26,0,0,5377,.IMAD.U32,5366,5368,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x190,-1,-1,-1,0 
1,1,27,0,0,5377,.I2F.U32.RP,5368,5369,4,0,1,0,0,0,1,0,3,0,-1,2,32,0,0,-1,0x1a0,-1,-1,-1,0 
1,1,28,0,0,5380,.IMAD.MOV.U32,5368,5370,4,3,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x1b0,-1,-1,-1,0 
1,1,29,0,0,5380,.ISETP.GE.AND,5370,5371,4,2,0,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x1c0,-1,-1,-1,0 
1,1,30,0,0,5389,.IMAD.WIDE.U32,5370,5380,4,3,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x1d0,-1,-1,-1,0 
1,1,31,0,0,5390,.IABS,5380,5381,4,1,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x1e0,-1,-1,-1,0 
1,1,32,0,0,5391,.LEA,5380,5382,4,1,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x1f0,-1,-1,-1,0 
1,1,33,0,0,5399,.IMAD.WIDE.U32,5382,5390,4,3,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x200,-1,-1,-1,0 
1,1,35,0,0,5401,.IMAD,5391,5392,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x220,-1,-1,-1,0 
1,1,36,0,0,5408,.IMAD,5391,5399,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x230,-1,-1,-1,0 
1,1,34,0,0,5416,.MUFU.RCP,5382,5391,20,1,1,0,0,0,2,0,4,0,-1,8,32,0,0,-1,0x210,-1,-1,-1,0 
1,1,37,0,0,5417,.ISETP.GE.U32.AND,5399,5408,4,1,0,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x240,-1,-1,-1,0 
1,1,38,0,0,5425,.IADD3,5399,5416,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x250,-1,-1,-1,0 
1,1,39,0,0,5425,.I2F.U32.RP,5416,5417,4,0,1,0,0,0,1,0,3,0,-1,2,32,0,0,-1,0x260,-1,-1,-1,0 
1,1,40,0,0,5427,.IADD3,5416,5418,4,2,1,0,0,0,6,0,3,0,-1,2,0,0,0,-1,0x270,-1,-1,-1,0 
1,1,41,0,0,5434,.F2I.FTZ.U32.TRUNC.NTZ,5418,5425,4,1,1,0,0,0,1,0,3,0,-1,2,32,0,0,-1,0x280,-1,-1,-1,0 
1,1,42,0,0,5436,.ISETP.GE.U32.AND,5418,5427,4,1,0,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x290,-1,-1,-1,0 
1,1,44,0,0,5438,.IADD3,5427,5429,4,2,1,0,0,0,6,0,3,0,-1,2,0,0,0,-1,0x2b0,-1,-1,-1,0 
