

        *** GPGPU-Sim Simulator Version 4.0.0  [build gpgpu-sim_git-commit-90ec3399763d7c8512cfe7dc193473086c38ca38_modified_14.0] ***


addr_dec_mask[CHIP]  = 0000000000001f00 	high:13 low:8
addr_dec_mask[BK]    = 00000000000e2000 	high:20 low:13
addr_dec_mask[ROW]   = 00000001fff00000 	high:33 low:20
addr_dec_mask[COL]   = 000000000001c0ff 	high:17 low:0
addr_dec_mask[BURST] = 000000000000001f 	high:5 low:0
sub_partition_id_mask = 0000000000002000
GPGPU-Sim uArch: clock freqs: 1132000000.000000:1132000000.000000:1132000000.000000:850000000.000000
GPGPU-Sim uArch: clock periods: 0.00000000088339222615:0.00000000088339222615:0.00000000088339222615:0.00000000117647058824
GPGPU-Sim uArch: performance model initialization complete.
launching memcpy command : MemcpyHtoD,0x00007f698b700000,3600
launching memcpy command : MemcpyHtoD,0x00007f698b701000,3600
-kernel name = _Z14calculate_tempiPfS_iiiiffffff
-kernel id = 1
-grid dim = (8,8,1)
-block dim = (16,16,1)
-shmem = 3072
-nregs = 35
-binary version = 70
-cuda stream id = 0
-shmem base_addr = 0x00007f69c0000000
-local mem base_addr = 0x00007f69c2000000
-nvbit version = 1.4
-accelsim tracer version = 3
launching kernel command : /scratch/santosh/gpu_simulation/accel-sim-framework/traces/rodinia_2.0-ft/11.0/hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt/traces/kernel-1.traceg
GPGPU-Sim uArch: Shader 0 bind to kernel 1 '_Z14calculate_tempiPfS_iiiiffffff'
GPGPU-Sim uArch: CTA/core = 32, limited by: shmem cta_limit
GPGPU-Sim: Reconfigure L1 cache to 120KB
GPGPUsim: cta_size: 32
ctaid: 0, start warp: 0, end_warp: 1, start_thread: 0, end_thread: 32
thread block = 0,0,0
warp id: 0
warp id: 1
warp_id: 0, insts: 279
1,1,1,0,0,5011,.IMAD.MOV.U32,5001,5002,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0,-1,-1,-1,0 
1,1,3,0,0,5012,.S2R,5003,5004,4,0,1,0,0,0,1,0,3,0,-1,2,32,0,0,-1,0x20,-1,-1,-1,0 
1,1,2,0,0,5013,.SHFL.IDX,5001,5003,4,4,0,0,0,0,1,0,3,0,-1,2,0,0,0,-1,0x10,-1,-1,-1,0 
1,1,4,0,0,5014,.IMAD.MOV,5003,5005,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x30,-1,-1,-1,0 
1,1,5,0,0,5015,.IMAD.MOV.U32,5005,5006,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x40,-1,-1,-1,0 
1,1,6,0,0,5015,.S2R,5005,5007,4,0,1,0,0,0,1,0,3,0,-1,2,32,0,0,-1,0x50,-1,-1,-1,0 
1,1,7,0,0,5017,.IMAD.MOV.U32,5007,5008,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x60,-1,-1,-1,0 
1,1,8,0,0,5023,.LEA,5007,5014,4,1,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x70,-1,-1,-1,0 
1,1,9,0,0,5023,.S2R,5014,5015,4,0,1,0,0,0,1,0,3,0,-1,2,32,0,0,-1,0x80,-1,-1,-1,0 
1,1,10,0,0,5025,.IADD3,5014,5016,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x90,-1,-1,-1,0 
1,1,11,0,0,5026,.IADD3,5016,5017,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0xa0,-1,-1,-1,0 
1,1,12,0,0,5026,.S2R,5016,5018,4,0,1,0,0,0,1,0,3,0,-1,2,32,0,0,-1,0xb0,-1,-1,-1,0 
1,1,13,0,0,5032,.IMAD,5018,5023,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0xc0,-1,-1,-1,0 
1,1,14,0,0,5033,.IMAD,5018,5024,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0xd0,-1,-1,-1,0 
1,1,15,0,0,5041,.IMAD.IADD,5024,5032,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0xe0,-1,-1,-1,0 
1,1,16,0,0,5042,.IMAD.IADD,5024,5033,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0xf0,-1,-1,-1,0 
1,1,17,0,0,5050,.ISETP.GT.AND,5033,5041,4,2,0,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x100,-1,-1,-1,0 
1,1,18,0,0,5051,.ISETP.GT.AND,5033,5042,4,2,0,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x110,-1,-1,-1,0 
1,1,19,0,0,5052,.ISETP.GT.AND,5042,5043,4,1,0,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x120,-1,-1,-1,0 
1,1,20,0,0,5053,.IMAD,5042,5044,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x130,-1,-1,-1,0 
1,1,21,0,0,5054,.ISETP.GT.AND,5044,5045,4,1,0,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x140,-1,-1,-1,0 
1,1,22,0,0,5062,.IMAD.WIDE,5044,5053,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x150,-1,-1,-1,0 
1,1,23,0,0,5062,.PLOP3.LUT,5053,5054,4,0,0,0,0,0,1,0,3,0,-1,2,32,0,0,-1,0x160,-1,-1,-1,0 
1,1,24,0,0,5064,.IMAD.WIDE,5053,5055,4,2,1,0,0,0,6,0,3,0,-1,2,0,0,0,-1,0x170,-1,-1,-1,0 
1,1,25,0,0,5065,.LDG.E.SYS,5055,5062,1,1,1,1,0,4,8,0,6,0,-1,1,0,0,0,-1,0x180,-1,-1,-1,1 
1,1,26,0,0,5067,.LDG.E.SYS,5055,5064,1,1,1,1,0,4,8,0,6,0,-1,1,0,0,0,-1,0x190,-1,-1,-1,1 
1,1,27,0,0,5074,.IMAD.MOV.U32,5064,5065,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x1a0,-1,-1,-1,0 
1,1,28,0,0,5075,.IADD3,5064,5066,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x1b0,-1,-1,-1,0 
1,1,29,0,0,5076,.IMAD.SHL.U32,5066,5067,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x1c0,-1,-1,-1,0 
1,1,30,0,0,5077,.IADD3,5066,5068,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x1d0,-1,-1,-1,0 
1,1,31,0,0,5078,.IMAD.SHL.U32,5068,5069,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x1e0,-1,-1,-1,0 
1,1,32,0,0,5083,.ISETP.LE.AND,5068,5074,4,1,0,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x1f0,-1,-1,-1,0 
1,1,33,0,0,5084,.IADD3,5074,5075,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x200,-1,-1,-1,0 
1,1,34,0,0,5087,.IMAD.IADD,5074,5078,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x210,-1,-1,-1,0 
1,1,35,0,0,5088,.IADD3,5078,5079,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x220,-1,-1,-1,0 
1,1,36,0,0,5093,.IADD3,5078,5084,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x230,-1,-1,-1,0 
1,1,37,0,0,5094,.IADD3,5084,5085,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x240,-1,-1,-1,0 
1,1,38,0,0,5095,.ISETP.GT.AND,5084,5086,4,2,0,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x250,-1,-1,-1,0 
1,1,40,0,0,5097,.STS,5086,5094,1,2,0,0,1,4,11,0,6,0,-1,1,0,0,0,-1,0x270,-1,-1,-1,0 
1,1,41,0,0,5098,.STS,5094,5095,1,2,0,0,1,4,11,0,6,0,-1,1,0,0,0,-1,0x280,-1,-1,-1,0 
1,1,39,0,0,5102,.IADD3,5086,5093,4,2,1,0,0,0,6,0,3,0,-1,2,32,0,0,-1,0x260,-1,-1,-1,0 
1,1,43,0,0,5102,.BAR.SYNC,5096,5097,1,0,0,0,0,0,13,0,3,0,-1,1,32,0,0,-1,0x2a0,1,-1,-1,0 
